Dataset scraped from: https://www.astrology-zodiac-signs.com/
aries-aries, 75%
aries-taurus, 63%
aries-gemini, 74%
aries-cancer, 47%
aries-leo, 83%
aries-virgo, 42%
aries-libra, 62%
aries-scorpio, 48%
aries-sagittarius, 87%
aries-capricorn, 38%
aries-aquarius, 68%
aries-pisces, 29%
taurus-taurus, 86%
taurus-gemini, 23%
taurus-cancer, 91%
taurus-leo, 29%
taurus-virgo, 73%
taurus-libra, 33%
taurus-scorpio, 89%
taurus-sagittarius, 31%
taurus-capricorn, 89%
taurus-aquarius, 11%
taurus-pisces, 88%
gemini-gemini, 83%
gemini-cancer, 21%
gemini-leo, 82%
gemini-virgo, 40%
gemini-libra, 78%
gemini-scorpio, 15%
gemini-sagittarius, 92%
gemini-capricorn, 15%
gemini-aquarius, 85%
gemini-pisces, 10%
cancer-cancer, 85%
cancer-leo, 29%
cancer-virgo, 77%
cancer-libra, 28%
cancer-scorpio, 79%
cancer-sagittarius, 27%
cancer-capricorn, 84%
cancer-aquarius, 31%
cancer-pisces, 72%
leo-leo, 78%
leo-virgo, 35%
leo-libra, 75%
leo-scorpio, 29%
leo-sagittarius, 75%
leo-capricorn, 27%
leo-aquarius, 89%
leo-pisces, 14%
virgo-virgo, 65%
virgo-libra, 30%
virgo-scorpio, 76%
virgo-sagittarius, 32%
virgo-capricorn, 77%
virgo-aquarius, 30%
virgo-pisces, 86%
libra-libra, 68%
libra-scorpio, 29%
libra-sagittarius, 71%
libra-capricorn, 34%
libra-aquarius, 68%
libra-pisces, 29%
scorpio-scorpio, 66%
scorpio-sagittarius, 30%
scorpio-capricorn, 64%
scorpio-aquarius, 30%
scorpio-pisces, 81%
sagittarius-sagittarius, 74%
sagittarius-capricorn, 38%
sagittarius-aquarius, 83%
sagittarius-pisces, 50%
capricorn-capricorn, 62%
capricorn-aquarius, 37%
capricorn-pisces, 76%
aquarius-aquarius, 74%
aquarius-pisces, 38%
pisces-pisces, 73%
