Dataset scraped from: https://www.astrology-zodiac-signs.com/
200000000000, 75%
110000000000, 63%
101000000000, 74%
100100000000, 47%
100010000000, 83%
100001000000, 42%
100000100000, 62%
100000010000, 48%
100000001000, 87%
100000000100, 38%
100000000010, 68%
100000000001, 29%
020000000000, 86%
011000000000, 23%
010100000000, 91%
010010000000, 29%
010001000000, 73%
010000100000, 33%
010000010000, 89%
010000001000, 31%
010000000100, 89%
010000000010, 11%
010000000001, 88%
002000000000, 83%
001100000000, 21%
001010000000, 82%
001001000000, 40%
001000100000, 78%
001000010000, 15%
001000001000, 92%
001000000100, 15%
001000000010, 85%
001000000001, 10%
000200000000, 85%
000110000000, 29%
000101000000, 77%
000100100000, 28%
000100010000, 79%
000100001000, 27%
000100000100, 84%
000100000010, 31%
000100000001, 72%
000020000000, 78%
000011000000, 35%
000010100000, 75%
000010010000, 29%
000010001000, 75%
000010000100, 27%
000010000010, 89%
000010000001, 14%
000002000000, 65%
000001100000, 30%
000001010000, 76%
000001001000, 32%
000001000100, 77%
000001000010, 30%
000001000001, 86%
000000200000, 68%
000000110000, 29%
000000101000, 71%
000000100100, 34%
000000100010, 68%
000000100001, 29%
000000020000, 66%
000000011000, 30%
000000010100, 64%
000000010010, 30%
000000010001, 81%
000000002000, 74%
000000001100, 38%
000000001010, 83%
000000001001, 50%
000000000200, 62%
000000000110, 37%
000000000101, 76%
000000000020, 74%
000000000011, 38%
000000000002, 73%
